itemid,shopid,liked_count,cmt_count,discount,shop_location,shop_rating,name,historical_sold,price,rating_star,rating_count,rcount_with_context,status,Date
25657221443,18363975,186,258,22%,HÃ  Ná»™i,4.931226,Sá»¯a Rá»­a Máº·t Acnes Kiá»ƒm SoÃ¡t Nhá»n NgÄƒn Ngá»«a Má»¥n Acnes Oil Control Cleanser Gel 50g / 100g,1032,3900000000,4.937984,258,151,normal,3/10/2024
2657791464,18363975,23133,4586,25%,HÃ  Ná»™i,4.931236,Sá»¯a Rá»­a Máº·t Eucerin Cho Da Dáº§u Má»¥n - Eucerin Pro ACNE Solution Cleansing Gel 200ml vÃ  400ml Proacne,13828,14900000000,4.950491,4585,2477,normal,3/10/2024
11496204393,18363975,551,831,42%,HÃ  Ná»™i,4.931227,Sá»¯a DÆ°á»¡ng áº¨m Simple Hydrating Light Moisturiser 125ml,3127,7600000000,4.90012,831,555,normal,3/10/2024
14388950714,18363975,12212,3893,30%,HÃ  Ná»™i,4.931228,Kem Chá»‘ng Náº¯ng Sunplay Skin Aqua Clear White SPF 50+ PA++++ 25g/55g DÆ°á»¡ng Tráº¯ng Cho Da Dáº§u - Dáº¡ng Sá»¯a,13319,10500000000,4.918336,3894,2252,normal,3/10/2024
21052890771,18363975,19097,11352,33%,HÃ  Ná»™i,4.931226,BÃ´ng Táº©y Trang Likado TÃºi 222 Miáº¿ng / 100 Miáº¿ng TrÃ²n / KhÄƒn Lau Máº·t DÃ¹ng 1 Láº§n - Cháº¥t Liá»‡u Cotton,45847,2450000000,4.896944,11353,4665,normal,3/10/2024
2011902415,18363975,24633,1913,23%,HÃ  Ná»™i,4.931227,Sá»¯a Rá»­a Máº·t Cetaphil (Gentle/Foaming) Skin Cleanser 125ml/250ml/236ml/473ml/500ml,6057,15500000000,4.91218,1913,1210,normal,3/10/2024
19084505293,18363975,124,144,16%,HÃ  Ná»™i,4.931227,NÆ°á»›c Táº©y Trang Sáº¡ch SÃ¢u Hada Labo Micellar Water Whitening 240ml - 200ml,531,11400000000,4.951724,145,85,normal,3/10/2024
3445906403,18363975,23171,5062,36%,HÃ  Ná»™i,4.931226,"D79 GSV Cream/Pro/New Giáº£m Má»¥n Trá»©ng CÃ¡, Má»¥n LÆ°ng, DÃ y Sá»«ng Nang LÃ´ng 15g/20g - Dr ThÃªm",23034,8900000000,4.904583,5062,3238,normal,3/10/2024
2660459852,18363975,22697,5204,16%,HÃ  Ná»™i,4.93123,"DERMACOS Sá»¯a Rá»­a Máº·t Farmona Dermacos Anti Acne Deep Cleansing Gel 150ml, Sáº¡ch SÃ¢u Ngá»«a Má»¥n, Cho Da Dáº§u",18117,32500000000,4.921968,5204,2826,normal,3/10/2024
2009956126,18363975,24367,596,20%,HÃ  Ná»™i,4.931226,Sá»¯a Rá»­a Máº·t La Roche Posay Cho Da Dáº§u Má»¥n Effaclar Purifying Foaming Gel 200ml & 400ml,2226,16800000000,4.941275,596,318,normal,3/10/2024
